i0.MultiQueueMigrator.migrationCount 262
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaits 1664
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitTotal 3285
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.actWaitAverage 1.97416
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.subArrayEnergy 3.38048e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activeEnergy 225330mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.burstEnergy 190672mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredPauses 1533
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.reads 1581
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.writes 1533
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activates 2072
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.precharges 2071
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaits 9040
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitTotal 124409
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitAverage 13.7621
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredWriteTimes 1533
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelCountHisto {0: 1532}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankEnergy 3.38048e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeEnergy 225330mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstEnergy 190672mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankPower 0.0014012W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activePower 9.33984e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstPower 7.9033e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshPower 0.00122877W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bandwidth 497.495MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.dataCycles 12456
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.powerCycles 640959
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.utilization 0.0194334
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.reads 1581
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.writes 1533
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activates 2072
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.precharges 2071
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeCycles 181064
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.standbyCycles 459895
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitActiveCycles 570427
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitPrechargeCycles 2407467
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaits 1774
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitTotal 3505
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitAverage 1.97576
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.subArrayEnergy 3.35248e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activeEnergy 205211mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.burstEnergy 182792mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.pausedWrites 0
