i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.subArrayEnergy 3.11563e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activeEnergy 1.70196e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.burstEnergy 2.14003e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredPauses 95908
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.reads 256768
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.writes 95908
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activates 156502
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.precharges 156502
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshes 213393
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaits 780517
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitTotal 13640929
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitAverage 17.4768
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredWriteTimes 95908
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelCountHisto {0: 95907}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankEnergy 3.11563e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeEnergy 1.70196e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstEnergy 2.14003e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankPower 0.00140208W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activePower 7.6591e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstPower 9.6305e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bandwidth 562.74MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.dataCycles 1410704
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.powerCycles 64175327
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.utilization 0.021982
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.reads 256768
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.writes 95908
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activates 156502
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.precharges 156502
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshes 213393
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeCycles 16687297
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.standbyCycles 47488030
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitActiveCycles 63052367
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.fastExitPrechargeCycles 206093372
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaits 190576
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitTotal 379318
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.actWaitAverage 1.99038
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.subArrayEnergy 3.14058e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.activeEnergy 1.77911e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.burstEnergy 2.31242e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.cancelledWriteTime 0
